# Source: Jun Da 笪骏 (jda@mtsu.edu)
# http://lingua.mtsu.edu/chinese-computing/statistics/char/list.php?Which=MO
#
# Accessed 2022-10-02
1	的	7922684	4.094325317834	de/di2/di4
2	一	3050722	5.670893097424	yi1
3	是	2615490	7.0225394492842	shi4
4	不	2237915	8.179060653924	bu4/bu2
5	了	2128528	9.2790522830384	le/liao3/liao4
6	在	2009181	10.317367156686	zai4
7	人	1867999	11.282721271452	ren2
8	有	1782004	12.203634448562	you3
9	我	1690048	13.077026131829	wo3
10	他	1595761	13.901691695105	ta1
11	这	1552042	14.703763929078	zhe4/zhei4
12	个	1199580	15.323689040917	ge4
13	们	1169853	15.928251681058	men
14	中	1104541	16.499062050484	zhong1/zhong4
15	来	1079469	17.056915583014	lai2
16	上	1069575	17.609656043421	shang4
17	大	1054064	18.154380649605	da4/dai4
18	为	1039036	18.691339008785	wei2/wei4
19	和	1010465	19.213532299882	he2/he4/huo2/huo4
20	国	985350	19.722746532323	guo2
21	地	969349	20.223691685823	de/di4
22	到	965035	20.722407428253	dao4
23	以	910627	21.193005925076	yi3
24	说	874977	21.645181031848	shui4/shuo1
25	时	833532	22.075937978714	shi2
26	要	811011	22.495056407563	yao1/yao4
27	就	771108	22.893553559182	jiu4
28	出	755256	23.283858632848	chu1
29	会	734888	23.66363782689	hui4/kuai4
30	可	723108	24.037329292046	ke3
31	也	710259	24.404380585007	ye3
32	你	705205	24.768820045897	ni3
33	对	703632	25.13244660377	dui4
34	生	682031	25.48491008595	sheng1
35	能	665358	25.828757209579	neng2
36	而	649239	26.164274273623	er2
37	子	640640	26.495347502293	zi3/zi
38	那	638538	26.825334448611	na3/na4/nei4
39	得	630688	27.151264631621	de2/de/dei3
40	于	630524	27.47711006187	yu2
41	着	626326	27.800786028123	zhao1/zhao2/zhe/zhu4/zhuo2
42	下	621185	28.121805201998	xia4
43	自	611687	28.437915950665	zi4
44	之	609003	28.75263964803	zhi1
45	年	601887	29.063685902377	nian2
46	过	589925	29.368550372944	guo4
47	发	572904	29.664618643733	fa1/fa4
48	后	570764	29.959580994334	hou4
49	作	542791	30.240087314363	zuo4
50	里	537795	30.518011775859	li3
51	用	535480	30.794739879768	yong4
52	道	534695	31.071062307347	dao4
53	行	531848	31.345913447647	hang2/xing2/xing4
54	所	523028	31.61620654306	suo3
55	然	511026	31.880297183286	ran2
56	家	509790	32.143749077086	jia1
57	种	503344	32.403869773908	zhong3/zhong4
58	事	499172	32.661834443148	shi4
59	成	499007	32.919713842841	cheng2/cheng4
60	方	492763	33.174366436153	fang1
61	多	481689	33.423296150884	duo1
62	经	481338	33.672044474033	jing1
63	么	477969	33.919051748062	ma/me/yao1
64	去	476270	34.165181004148	qu4
65	法	466816	34.406424573571	fa3
66	学	464261	34.646347756975	xue2
67	如	449036	34.878402886704	ru2
68	都	439568	35.105565094778	dou1/du1
69	同	437611	35.331715954343	tong2
70	现	433960	35.555980031381	xian4
71	当	429274	35.777822453278	dang1/dang4
72	没	428146	35.999081941544	mei2/mo4
73	动	426839	36.219665991638	dong4
74	面	425180	36.439392695195	mian4
75	起	424933	36.658991752822	qi3
76	看	424616	36.878426989563	kan1/kan4
77	定	422538	37.096788346793	ding4
78	天	419884	37.313778156276	tian1
79	分	419382	37.530508539621	fen1/fen4
80	还	415855	37.745416221796	hai2/huan2/huan4
81	进	412166	37.95841748361	jin4
82	好	411866	38.171263709883	hao3/hao4
83	小	410987	38.383655682023	xiao3
84	部	403066	38.591954199111	bu4
85	其	403028	38.800233078364	qi2
86	些	400528	39.007219994781	xie1
87	主	399693	39.21377539561	zhu3
88	样	398149	39.419532880191	yang4
89	理	398087	39.625258324093	li3
90	心	392228	39.827955923892	xin1
91	她	388612	40.028784828644	ta1
92	本	388118	40.229358441539	ben3
93	前	381431	40.426476312239	qian2
94	开	377012	40.621310509428	kai1
95	但	374459	40.814825354169	dan4
96	因	371612	41.006868911632	yin1
97	只	370059	41.19810990178	qi2/zhi1/zhi3
98	从	369958	41.38929869663	cong1/cong2/zong4
99	想	368819	41.579898873211	xiang3
100	实	368494	41.770331094624	shi2
101	日	363763	41.958318405564	ri4
102	军	362526	42.145666453293	jun1
103	者	360974	42.332212450493	zhe3
104	意	360232	42.518374993123	yi4
105	无	359265	42.704037804528	wu2
106	力	359136	42.88963395065	li4
107	它	346173	43.068531011072	ta1
108	与	345532	43.247096812222	yu2/yu3/yu4
109	长	342148	43.423913812477	chang2/zhang3
110	把	340730	43.599998011411	ba3/ba4
111	机	339823	43.775613486227	ji1
112	十	338954	43.950779874762	shi2
113	民	335796	44.124314255841	min2
114	第	325780	44.292672517012	di4
115	公	318626	44.457333697329	gong1
116	此	318534	44.621947333414	ci3
117	已	318143	44.786358906511	yi3
118	工	317532	44.950454723891	gong1
119	使	316273	45.113899908786	shi3
120	情	312900	45.275601977423	qing2
121	明	309873	45.435739737456	ming2
122	性	309844	45.595862510721	xing4
123	知	306384	45.754197207419	zhi1
124	全	305248	45.911944836205	quan2
125	三	304272	46.069188082699	san1
126	又	302933	46.225739353898	you4
127	关	302473	46.382052903935	guan1
128	点	300800	46.537501872442	dian3
129	正	296810	46.690888868261	zheng1/zheng4
130	业	296169	46.843944604809	ye4
131	外	295645	46.996729545947	wai4
132	将	295586	47.149483996761	jiang1/jiang4
133	两	294600	47.301728897433	liang3
134	高	293542	47.453427039432	gao1
135	间	292227	47.60444560898	jian1/jian4
136	由	292199	47.755449708543	you2
137	问	288237	47.904406305403	wen4
138	很	284252	48.051303513501	hen3
139	最	283689	48.197909771569	zui4
140	重	282843	48.344078829412	chong2/zhong4
141	并	281616	48.489613791896	bing4
142	物	281146	48.634905865366	wu4
143	手	280442	48.779834122101	shou3
144	应	280384	48.924732405298	ying1/ying4
145	战	278776	49.068799697999	zhan4
146	向	276986	49.211941945309	xiang4
147	头	274911	49.354011863464	tou2/tou
148	文	274222	49.495725716662	wen2
149	体	273792	49.637217352252	ti3
150	政	269878	49.776686290824	zheng4
151	美	269452	49.915935078929	mei3
152	相	269125	50.055014878296	xiang1/xiang4
153	见	269080	50.194071422331	jian4/xian4
154	被	268905	50.333037528967	bei4
155	利	268813	50.471956091372	li4
156	什	267869	50.610386808609	shen2/shi2
157	二	267506	50.748629932842	er4
158	等	266296	50.886247747062	deng3
159	产	265164	51.02328056051	chan3
160	或	260786	51.158050888638	huo4
161	新	253921	51.289273486817	xin1
162	己	250894	51.418931776393	ji3
163	制	250754	51.548517716051	zhi4
164	身	249725	51.677571883804	shen1
165	果	246831	51.805130475379	guo3
